_id,Date,Year,Month Number,Month,Month & Year,Mon & Year
378,13-Jan-90,1990,1,January,Jan-90,Jan-90
379,14-Jan-90,1990,1,January,Jan-90,Jan-90
380,15-Jan-90,1990,1,January,Jan-90,Jan-90
381,16-Jan-90,1990,1,January,Jan-90,Jan-90
382,17-Jan-90,1990,1,January,Jan-90,Jan-90
383,18-Jan-90,1990,1,January,Jan-90,Jan-90
384,19-Jan-90,1990,1,January,Jan-90,Jan-90
385,20-Jan-90,1990,1,January,Jan-90,Jan-90
386,21-Jan-90,1990,1,January,Jan-90,Jan-90
387,22-Jan-90,1990,1,January,Jan-90,Jan-90
388,23-Jan-90,1990,1,January,Jan-90,Jan-90
389,24-Jan-90,1990,1,January,Jan-90,Jan-90
390,25-Jan-90,1990,1,January,Jan-90,Jan-90
391,26-Jan-90,1990,1,January,Jan-90,Jan-90
392,27-Jan-90,1990,1,January,Jan-90,Jan-90
393,28-Jan-90,1990,1,January,Jan-90,Jan-90
394,29-Jan-90,1990,1,January,Jan-90,Jan-90
395,30-Jan-90,1990,1,January,Jan-90,Jan-90
396,31-Jan-90,1990,1,January,Jan-90,Jan-90
397,1-Feb-90,1990,2,February,Feb-90,Feb-90
398,2-Feb-90,1990,2,February,Feb-90,Feb-90
399,3-Feb-90,1990,2,February,Feb-90,Feb-90
400,4-Feb-90,1990,2,February,Feb-90,Feb-90
401,5-Feb-90,1990,2,February,Feb-90,Feb-90
402,6-Feb-90,1990,2,February,Feb-90,Feb-90
403,7-Feb-90,1990,2,February,Feb-90,Feb-90
404,8-Feb-90,1990,2,February,Feb-90,Feb-90
405,9-Feb-90,1990,2,February,Feb-90,Feb-90
406,10-Feb-90,1990,2,February,Feb-90,Feb-90
407,11-Feb-90,1990,2,February,Feb-90,Feb-90
408,12-Feb-90,1990,2,February,Feb-90,Feb-90
409,13-Feb-90,1990,2,February,Feb-90,Feb-90
410,14-Feb-90,1990,2,February,Feb-90,Feb-90
411,15-Feb-90,1990,2,February,Feb-90,Feb-90
412,16-Feb-90,1990,2,February,Feb-90,Feb-90
413,17-Feb-90,1990,2,February,Feb-90,Feb-90
414,18-Feb-90,1990,2,February,Feb-90,Feb-90
415,19-Feb-90,1990,2,February,Feb-90,Feb-90
416,20-Feb-90,1990,2,February,Feb-90,Feb-90
417,21-Feb-90,1990,2,February,Feb-90,Feb-90
418,22-Feb-90,1990,2,February,Feb-90,Feb-90
419,23-Feb-90,1990,2,February,Feb-90,Feb-90
420,24-Feb-90,1990,2,February,Feb-90,Feb-90
421,25-Feb-90,1990,2,February,Feb-90,Feb-90
422,26-Feb-90,1990,2,February,Feb-90,Feb-90
423,27-Feb-90,1990,2,February,Feb-90,Feb-90
424,28-Feb-90,1990,2,February,Feb-90,Feb-90
425,1-Mar-90,1990,3,March,Mar-90,Mar-90
426,2-Mar-90,1990,3,March,Mar-90,Mar-90
427,3-Mar-90,1990,3,March,Mar-90,Mar-90
428,4-Mar-90,1990,3,March,Mar-90,Mar-90
429,5-Mar-90,1990,3,March,Mar-90,Mar-90
430,6-Mar-90,1990,3,March,Mar-90,Mar-90
431,7-Mar-90,1990,3,March,Mar-90,Mar-90
432,8-Mar-90,1990,3,March,Mar-90,Mar-90
433,9-Mar-90,1990,3,March,Mar-90,Mar-90
434,10-Mar-90,1990,3,March,Mar-90,Mar-90
435,11-Mar-90,1990,3,March,Mar-90,Mar-90
436,12-Mar-90,1990,3,March,Mar-90,Mar-90
437,13-Mar-90,1990,3,March,Mar-90,Mar-90
438,14-Mar-90,1990,3,March,Mar-90,Mar-90
439,15-Mar-90,1990,3,March,Mar-90,Mar-90
440,16-Mar-90,1990,3,March,Mar-90,Mar-90
441,17-Mar-90,1990,3,March,Mar-90,Mar-90
442,18-Mar-90,1990,3,March,Mar-90,Mar-90
443,19-Mar-90,1990,3,March,Mar-90,Mar-90
444,20-Mar-90,1990,3,March,Mar-90,Mar-90
445,21-Mar-90,1990,3,March,Mar-90,Mar-90
446,22-Mar-90,1990,3,March,Mar-90,Mar-90
447,23-Mar-90,1990,3,March,Mar-90,Mar-90
448,24-Mar-90,1990,3,March,Mar-90,Mar-90
449,25-Mar-90,1990,3,March,Mar-90,Mar-90
450,26-Mar-90,1990,3,March,Mar-90,Mar-90
451,27-Mar-90,1990,3,March,Mar-90,Mar-90
452,28-Mar-90,1990,3,March,Mar-90,Mar-90
453,29-Mar-90,1990,3,March,Mar-90,Mar-90
454,30-Mar-90,1990,3,March,Mar-90,Mar-90
455,31-Mar-90,1990,3,March,Mar-90,Mar-90
456,1-Apr-90,1990,4,April,Apr-90,Apr-90
457,2-Apr-90,1990,4,April,Apr-90,Apr-90
458,3-Apr-90,1990,4,April,Apr-90,Apr-90
459,4-Apr-90,1990,4,April,Apr-90,Apr-90
460,5-Apr-90,1990,4,April,Apr-90,Apr-90
461,6-Apr-90,1990,4,April,Apr-90,Apr-90
462,7-Apr-90,1990,4,April,Apr-90,Apr-90
463,8-Apr-90,1990,4,April,Apr-90,Apr-90
464,9-Apr-90,1990,4,April,Apr-90,Apr-90
465,10-Apr-90,1990,4,April,Apr-90,Apr-90
466,11-Apr-90,1990,4,April,Apr-90,Apr-90
467,12-Apr-90,1990,4,April,Apr-90,Apr-90
468,13-Apr-90,1990,4,April,Apr-90,Apr-90
469,14-Apr-90,1990,4,April,Apr-90,Apr-90
470,15-Apr-90,1990,4,April,Apr-90,Apr-90
471,16-Apr-90,1990,4,April,Apr-90,Apr-90
472,17-Apr-90,1990,4,April,Apr-90,Apr-90
473,18-Apr-90,1990,4,April,Apr-90,Apr-90
474,19-Apr-90,1990,4,April,Apr-90,Apr-90
475,20-Apr-90,1990,4,April,Apr-90,Apr-90
476,21-Apr-90,1990,4,April,Apr-90,Apr-90
477,22-Apr-90,1990,4,April,Apr-90,Apr-90
478,23-Apr-90,1990,4,April,Apr-90,Apr-90
479,24-Apr-90,1990,4,April,Apr-90,Apr-90
480,25-Apr-90,1990,4,April,Apr-90,Apr-90
481,26-Apr-90,1990,4,April,Apr-90,Apr-90
482,27-Apr-90,1990,4,April,Apr-90,Apr-90
