_id,Date,Year,Month Number,Month,Month & Year,Mon & Year
1540,20-Mar-93,1993,3,March,Mar-93,Mar-93
1541,21-Mar-93,1993,3,March,Mar-93,Mar-93
1542,22-Mar-93,1993,3,March,Mar-93,Mar-93
1543,23-Mar-93,1993,3,March,Mar-93,Mar-93
1544,24-Mar-93,1993,3,March,Mar-93,Mar-93
1545,25-Mar-93,1993,3,March,Mar-93,Mar-93
1546,26-Mar-93,1993,3,March,Mar-93,Mar-93
1547,27-Mar-93,1993,3,March,Mar-93,Mar-93
1548,28-Mar-93,1993,3,March,Mar-93,Mar-93
1549,29-Mar-93,1993,3,March,Mar-93,Mar-93
1550,30-Mar-93,1993,3,March,Mar-93,Mar-93
1551,31-Mar-93,1993,3,March,Mar-93,Mar-93
1552,1-Apr-93,1993,4,April,Apr-93,Apr-93
1553,2-Apr-93,1993,4,April,Apr-93,Apr-93
1554,3-Apr-93,1993,4,April,Apr-93,Apr-93
1555,4-Apr-93,1993,4,April,Apr-93,Apr-93
1556,5-Apr-93,1993,4,April,Apr-93,Apr-93
1557,6-Apr-93,1993,4,April,Apr-93,Apr-93
1558,7-Apr-93,1993,4,April,Apr-93,Apr-93
1559,8-Apr-93,1993,4,April,Apr-93,Apr-93
1560,9-Apr-93,1993,4,April,Apr-93,Apr-93
1561,10-Apr-93,1993,4,April,Apr-93,Apr-93
1562,11-Apr-93,1993,4,April,Apr-93,Apr-93
1563,12-Apr-93,1993,4,April,Apr-93,Apr-93
1564,13-Apr-93,1993,4,April,Apr-93,Apr-93
1565,14-Apr-93,1993,4,April,Apr-93,Apr-93
1566,15-Apr-93,1993,4,April,Apr-93,Apr-93
1567,16-Apr-93,1993,4,April,Apr-93,Apr-93
1568,17-Apr-93,1993,4,April,Apr-93,Apr-93
1569,18-Apr-93,1993,4,April,Apr-93,Apr-93
1570,19-Apr-93,1993,4,April,Apr-93,Apr-93
1571,20-Apr-93,1993,4,April,Apr-93,Apr-93
1572,21-Apr-93,1993,4,April,Apr-93,Apr-93
1573,22-Apr-93,1993,4,April,Apr-93,Apr-93
1574,23-Apr-93,1993,4,April,Apr-93,Apr-93
1575,24-Apr-93,1993,4,April,Apr-93,Apr-93
1576,25-Apr-93,1993,4,April,Apr-93,Apr-93
1577,26-Apr-93,1993,4,April,Apr-93,Apr-93
1578,27-Apr-93,1993,4,April,Apr-93,Apr-93
1579,28-Apr-93,1993,4,April,Apr-93,Apr-93
1580,29-Apr-93,1993,4,April,Apr-93,Apr-93
1581,30-Apr-93,1993,4,April,Apr-93,Apr-93
1582,1-May-93,1993,5,May,May-93,May-93
1583,2-May-93,1993,5,May,May-93,May-93
1584,3-May-93,1993,5,May,May-93,May-93
1585,4-May-93,1993,5,May,May-93,May-93
1586,5-May-93,1993,5,May,May-93,May-93
1587,6-May-93,1993,5,May,May-93,May-93
1588,7-May-93,1993,5,May,May-93,May-93
1589,8-May-93,1993,5,May,May-93,May-93
1590,9-May-93,1993,5,May,May-93,May-93
1591,10-May-93,1993,5,May,May-93,May-93
1592,11-May-93,1993,5,May,May-93,May-93
1593,12-May-93,1993,5,May,May-93,May-93
1594,13-May-93,1993,5,May,May-93,May-93
1595,14-May-93,1993,5,May,May-93,May-93
1596,15-May-93,1993,5,May,May-93,May-93
1597,16-May-93,1993,5,May,May-93,May-93
1598,17-May-93,1993,5,May,May-93,May-93
1599,18-May-93,1993,5,May,May-93,May-93
1600,19-May-93,1993,5,May,May-93,May-93
1601,20-May-93,1993,5,May,May-93,May-93
1602,21-May-93,1993,5,May,May-93,May-93
1603,22-May-93,1993,5,May,May-93,May-93
1604,23-May-93,1993,5,May,May-93,May-93
1605,24-May-93,1993,5,May,May-93,May-93
1606,25-May-93,1993,5,May,May-93,May-93
1607,26-May-93,1993,5,May,May-93,May-93
1608,27-May-93,1993,5,May,May-93,May-93
1609,28-May-93,1993,5,May,May-93,May-93
1610,29-May-93,1993,5,May,May-93,May-93
1611,30-May-93,1993,5,May,May-93,May-93
1612,31-May-93,1993,5,May,May-93,May-93
1613,1-Jun-93,1993,6,June,Jun-93,Jun-93
1614,2-Jun-93,1993,6,June,Jun-93,Jun-93
1615,3-Jun-93,1993,6,June,Jun-93,Jun-93
1616,4-Jun-93,1993,6,June,Jun-93,Jun-93
1617,5-Jun-93,1993,6,June,Jun-93,Jun-93
1618,6-Jun-93,1993,6,June,Jun-93,Jun-93
1619,7-Jun-93,1993,6,June,Jun-93,Jun-93
1620,8-Jun-93,1993,6,June,Jun-93,Jun-93
1621,9-Jun-93,1993,6,June,Jun-93,Jun-93
1622,10-Jun-93,1993,6,June,Jun-93,Jun-93
1623,11-Jun-93,1993,6,June,Jun-93,Jun-93
1624,12-Jun-93,1993,6,June,Jun-93,Jun-93
1625,13-Jun-93,1993,6,June,Jun-93,Jun-93
1626,14-Jun-93,1993,6,June,Jun-93,Jun-93
1627,15-Jun-93,1993,6,June,Jun-93,Jun-93
1628,16-Jun-93,1993,6,June,Jun-93,Jun-93
1629,17-Jun-93,1993,6,June,Jun-93,Jun-93
1630,18-Jun-93,1993,6,June,Jun-93,Jun-93
1631,19-Jun-93,1993,6,June,Jun-93,Jun-93
1632,20-Jun-93,1993,6,June,Jun-93,Jun-93
1633,21-Jun-93,1993,6,June,Jun-93,Jun-93
1634,22-Jun-93,1993,6,June,Jun-93,Jun-93
1635,23-Jun-93,1993,6,June,Jun-93,Jun-93
1636,24-Jun-93,1993,6,June,Jun-93,Jun-93
1637,25-Jun-93,1993,6,June,Jun-93,Jun-93
1638,26-Jun-93,1993,6,June,Jun-93,Jun-93
1639,27-Jun-93,1993,6,June,Jun-93,Jun-93
1640,28-Jun-93,1993,6,June,Jun-93,Jun-93
1641,29-Jun-93,1993,6,June,Jun-93,Jun-93
1642,30-Jun-93,1993,6,June,Jun-93,Jun-93
1643,1-Jul-93,1993,7,July,Jul-93,Jul-93
1644,2-Jul-93,1993,7,July,Jul-93,Jul-93
1645,3-Jul-93,1993,7,July,Jul-93,Jul-93
1646,4-Jul-93,1993,7,July,Jul-93,Jul-93
1647,5-Jul-93,1993,7,July,Jul-93,Jul-93
1648,6-Jul-93,1993,7,July,Jul-93,Jul-93
1649,7-Jul-93,1993,7,July,Jul-93,Jul-93
1650,8-Jul-93,1993,7,July,Jul-93,Jul-93
1651,9-Jul-93,1993,7,July,Jul-93,Jul-93
1652,10-Jul-93,1993,7,July,Jul-93,Jul-93
1653,11-Jul-93,1993,7,July,Jul-93,Jul-93
1654,12-Jul-93,1993,7,July,Jul-93,Jul-93
1655,13-Jul-93,1993,7,July,Jul-93,Jul-93
1656,14-Jul-93,1993,7,July,Jul-93,Jul-93
1657,15-Jul-93,1993,7,July,Jul-93,Jul-93
1658,16-Jul-93,1993,7,July,Jul-93,Jul-93
1659,17-Jul-93,1993,7,July,Jul-93,Jul-93
1660,18-Jul-93,1993,7,July,Jul-93,Jul-93
1661,19-Jul-93,1993,7,July,Jul-93,Jul-93
1662,20-Jul-93,1993,7,July,Jul-93,Jul-93
1663,21-Jul-93,1993,7,July,Jul-93,Jul-93
1664,22-Jul-93,1993,7,July,Jul-93,Jul-93
1665,23-Jul-93,1993,7,July,Jul-93,Jul-93
1666,24-Jul-93,1993,7,July,Jul-93,Jul-93
1667,25-Jul-93,1993,7,July,Jul-93,Jul-93
1668,26-Jul-93,1993,7,July,Jul-93,Jul-93
1669,27-Jul-93,1993,7,July,Jul-93,Jul-93
1670,28-Jul-93,1993,7,July,Jul-93,Jul-93
1671,29-Jul-93,1993,7,July,Jul-93,Jul-93
1672,30-Jul-93,1993,7,July,Jul-93,Jul-93
1673,31-Jul-93,1993,7,July,Jul-93,Jul-93
1674,1-Aug-93,1993,8,August,Aug-93,Aug-93
1675,2-Aug-93,1993,8,August,Aug-93,Aug-93
1676,3-Aug-93,1993,8,August,Aug-93,Aug-93
1677,4-Aug-93,1993,8,August,Aug-93,Aug-93
1678,5-Aug-93,1993,8,August,Aug-93,Aug-93
1679,6-Aug-93,1993,8,August,Aug-93,Aug-93
1680,7-Aug-93,1993,8,August,Aug-93,Aug-93
1681,8-Aug-93,1993,8,August,Aug-93,Aug-93
1682,9-Aug-93,1993,8,August,Aug-93,Aug-93
1683,10-Aug-93,1993,8,August,Aug-93,Aug-93
1684,11-Aug-93,1993,8,August,Aug-93,Aug-93
1685,12-Aug-93,1993,8,August,Aug-93,Aug-93
1686,13-Aug-93,1993,8,August,Aug-93,Aug-93
1687,14-Aug-93,1993,8,August,Aug-93,Aug-93
1688,15-Aug-93,1993,8,August,Aug-93,Aug-93
1689,16-Aug-93,1993,8,August,Aug-93,Aug-93
1690,17-Aug-93,1993,8,August,Aug-93,Aug-93
1691,18-Aug-93,1993,8,August,Aug-93,Aug-93
1692,19-Aug-93,1993,8,August,Aug-93,Aug-93
1693,20-Aug-93,1993,8,August,Aug-93,Aug-93
1694,21-Aug-93,1993,8,August,Aug-93,Aug-93
1695,22-Aug-93,1993,8,August,Aug-93,Aug-93
1696,23-Aug-93,1993,8,August,Aug-93,Aug-93
1697,24-Aug-93,1993,8,August,Aug-93,Aug-93
1698,25-Aug-93,1993,8,August,Aug-93,Aug-93
1699,26-Aug-93,1993,8,August,Aug-93,Aug-93
1700,27-Aug-93,1993,8,August,Aug-93,Aug-93
1701,28-Aug-93,1993,8,August,Aug-93,Aug-93
1702,29-Aug-93,1993,8,August,Aug-93,Aug-93
1703,30-Aug-93,1993,8,August,Aug-93,Aug-93
1704,31-Aug-93,1993,8,August,Aug-93,Aug-93
1705,1-Sep-93,1993,9,September,Sep-93,Sep-93
1706,2-Sep-93,1993,9,September,Sep-93,Sep-93
1707,3-Sep-93,1993,9,September,Sep-93,Sep-93
1708,4-Sep-93,1993,9,September,Sep-93,Sep-93
1709,5-Sep-93,1993,9,September,Sep-93,Sep-93
1710,6-Sep-93,1993,9,September,Sep-93,Sep-93
1711,7-Sep-93,1993,9,September,Sep-93,Sep-93
1712,8-Sep-93,1993,9,September,Sep-93,Sep-93
1713,9-Sep-93,1993,9,September,Sep-93,Sep-93
1714,10-Sep-93,1993,9,September,Sep-93,Sep-93
1715,11-Sep-93,1993,9,September,Sep-93,Sep-93
1716,12-Sep-93,1993,9,September,Sep-93,Sep-93
1717,13-Sep-93,1993,9,September,Sep-93,Sep-93
1718,14-Sep-93,1993,9,September,Sep-93,Sep-93
1719,15-Sep-93,1993,9,September,Sep-93,Sep-93
1720,16-Sep-93,1993,9,September,Sep-93,Sep-93
1721,17-Sep-93,1993,9,September,Sep-93,Sep-93
1722,18-Sep-93,1993,9,September,Sep-93,Sep-93
1723,19-Sep-93,1993,9,September,Sep-93,Sep-93
1724,20-Sep-93,1993,9,September,Sep-93,Sep-93
1725,21-Sep-93,1993,9,September,Sep-93,Sep-93
1726,22-Sep-93,1993,9,September,Sep-93,Sep-93
1727,23-Sep-93,1993,9,September,Sep-93,Sep-93
1728,24-Sep-93,1993,9,September,Sep-93,Sep-93
1729,25-Sep-93,1993,9,September,Sep-93,Sep-93
1730,26-Sep-93,1993,9,September,Sep-93,Sep-93
1731,27-Sep-93,1993,9,September,Sep-93,Sep-93
1732,28-Sep-93,1993,9,September,Sep-93,Sep-93
1733,29-Sep-93,1993,9,September,Sep-93,Sep-93
1734,30-Sep-93,1993,9,September,Sep-93,Sep-93
1735,1-Oct-93,1993,10,October,Oct-93,Oct-93
1736,2-Oct-93,1993,10,October,Oct-93,Oct-93
1737,3-Oct-93,1993,10,October,Oct-93,Oct-93
1738,4-Oct-93,1993,10,October,Oct-93,Oct-93
1739,5-Oct-93,1993,10,October,Oct-93,Oct-93
1740,6-Oct-93,1993,10,October,Oct-93,Oct-93
1741,7-Oct-93,1993,10,October,Oct-93,Oct-93
1742,8-Oct-93,1993,10,October,Oct-93,Oct-93
1743,9-Oct-93,1993,10,October,Oct-93,Oct-93
1744,10-Oct-93,1993,10,October,Oct-93,Oct-93
1745,11-Oct-93,1993,10,October,Oct-93,Oct-93
1746,12-Oct-93,1993,10,October,Oct-93,Oct-93
1747,13-Oct-93,1993,10,October,Oct-93,Oct-93
1748,14-Oct-93,1993,10,October,Oct-93,Oct-93
1749,15-Oct-93,1993,10,October,Oct-93,Oct-93
1750,16-Oct-93,1993,10,October,Oct-93,Oct-93
1751,17-Oct-93,1993,10,October,Oct-93,Oct-93
1752,18-Oct-93,1993,10,October,Oct-93,Oct-93
1753,19-Oct-93,1993,10,October,Oct-93,Oct-93
1754,20-Oct-93,1993,10,October,Oct-93,Oct-93
1755,21-Oct-93,1993,10,October,Oct-93,Oct-93
1756,22-Oct-93,1993,10,October,Oct-93,Oct-93
1757,23-Oct-93,1993,10,October,Oct-93,Oct-93
1758,24-Oct-93,1993,10,October,Oct-93,Oct-93
1759,25-Oct-93,1993,10,October,Oct-93,Oct-93
1760,26-Oct-93,1993,10,October,Oct-93,Oct-93
1761,27-Oct-93,1993,10,October,Oct-93,Oct-93
1762,28-Oct-93,1993,10,October,Oct-93,Oct-93
1763,29-Oct-93,1993,10,October,Oct-93,Oct-93
1764,30-Oct-93,1993,10,October,Oct-93,Oct-93
1765,31-Oct-93,1993,10,October,Oct-93,Oct-93
1766,1-Nov-93,1993,11,November,Nov-93,Nov-93
1767,2-Nov-93,1993,11,November,Nov-93,Nov-93
1768,3-Nov-93,1993,11,November,Nov-93,Nov-93
1769,4-Nov-93,1993,11,November,Nov-93,Nov-93
1770,5-Nov-93,1993,11,November,Nov-93,Nov-93
1771,6-Nov-93,1993,11,November,Nov-93,Nov-93
1772,7-Nov-93,1993,11,November,Nov-93,Nov-93
1773,8-Nov-93,1993,11,November,Nov-93,Nov-93
1774,9-Nov-93,1993,11,November,Nov-93,Nov-93
1775,10-Nov-93,1993,11,November,Nov-93,Nov-93
1776,11-Nov-93,1993,11,November,Nov-93,Nov-93
1777,12-Nov-93,1993,11,November,Nov-93,Nov-93
1778,13-Nov-93,1993,11,November,Nov-93,Nov-93
1779,14-Nov-93,1993,11,November,Nov-93,Nov-93
1780,15-Nov-93,1993,11,November,Nov-93,Nov-93
1781,16-Nov-93,1993,11,November,Nov-93,Nov-93
1782,17-Nov-93,1993,11,November,Nov-93,Nov-93
1783,18-Nov-93,1993,11,November,Nov-93,Nov-93
1784,19-Nov-93,1993,11,November,Nov-93,Nov-93
1785,20-Nov-93,1993,11,November,Nov-93,Nov-93
1786,21-Nov-93,1993,11,November,Nov-93,Nov-93
1787,22-Nov-93,1993,11,November,Nov-93,Nov-93
1788,23-Nov-93,1993,11,November,Nov-93,Nov-93
1789,24-Nov-93,1993,11,November,Nov-93,Nov-93
1790,25-Nov-93,1993,11,November,Nov-93,Nov-93
1791,26-Nov-93,1993,11,November,Nov-93,Nov-93
1792,27-Nov-93,1993,11,November,Nov-93,Nov-93
1793,28-Nov-93,1993,11,November,Nov-93,Nov-93
1794,29-Nov-93,1993,11,November,Nov-93,Nov-93
1795,30-Nov-93,1993,11,November,Nov-93,Nov-93
1796,1-Dec-93,1993,12,December,Dec-93,Dec-93
1797,2-Dec-93,1993,12,December,Dec-93,Dec-93
1798,3-Dec-93,1993,12,December,Dec-93,Dec-93
1799,4-Dec-93,1993,12,December,Dec-93,Dec-93
1800,5-Dec-93,1993,12,December,Dec-93,Dec-93
1801,6-Dec-93,1993,12,December,Dec-93,Dec-93
1802,7-Dec-93,1993,12,December,Dec-93,Dec-93
1803,8-Dec-93,1993,12,December,Dec-93,Dec-93
1804,9-Dec-93,1993,12,December,Dec-93,Dec-93
1805,10-Dec-93,1993,12,December,Dec-93,Dec-93
1806,11-Dec-93,1993,12,December,Dec-93,Dec-93
1807,12-Dec-93,1993,12,December,Dec-93,Dec-93
1808,13-Dec-93,1993,12,December,Dec-93,Dec-93
1809,14-Dec-93,1993,12,December,Dec-93,Dec-93
1810,15-Dec-93,1993,12,December,Dec-93,Dec-93
1811,16-Dec-93,1993,12,December,Dec-93,Dec-93
1812,17-Dec-93,1993,12,December,Dec-93,Dec-93
1813,18-Dec-93,1993,12,December,Dec-93,Dec-93
1814,19-Dec-93,1993,12,December,Dec-93,Dec-93
1815,20-Dec-93,1993,12,December,Dec-93,Dec-93
1816,21-Dec-93,1993,12,December,Dec-93,Dec-93
1817,22-Dec-93,1993,12,December,Dec-93,Dec-93
1818,23-Dec-93,1993,12,December,Dec-93,Dec-93
1819,24-Dec-93,1993,12,December,Dec-93,Dec-93
1820,25-Dec-93,1993,12,December,Dec-93,Dec-93
1821,26-Dec-93,1993,12,December,Dec-93,Dec-93
1822,27-Dec-93,1993,12,December,Dec-93,Dec-93
1823,28-Dec-93,1993,12,December,Dec-93,Dec-93
1824,29-Dec-93,1993,12,December,Dec-93,Dec-93
1825,30-Dec-93,1993,12,December,Dec-93,Dec-93
1826,31-Dec-93,1993,12,December,Dec-93,Dec-93
1827,1-Jan-94,1994,1,January,Jan-94,Jan-94
1828,2-Jan-94,1994,1,January,Jan-94,Jan-94
1829,3-Jan-94,1994,1,January,Jan-94,Jan-94
1830,4-Jan-94,1994,1,January,Jan-94,Jan-94
1831,5-Jan-94,1994,1,January,Jan-94,Jan-94
1832,6-Jan-94,1994,1,January,Jan-94,Jan-94
1833,7-Jan-94,1994,1,January,Jan-94,Jan-94
1834,8-Jan-94,1994,1,January,Jan-94,Jan-94
1835,9-Jan-94,1994,1,January,Jan-94,Jan-94
1836,10-Jan-94,1994,1,January,Jan-94,Jan-94
1837,11-Jan-94,1994,1,January,Jan-94,Jan-94
1838,12-Jan-94,1994,1,January,Jan-94,Jan-94
1839,13-Jan-94,1994,1,January,Jan-94,Jan-94
1840,14-Jan-94,1994,1,January,Jan-94,Jan-94
1841,15-Jan-94,1994,1,January,Jan-94,Jan-94
1842,16-Jan-94,1994,1,January,Jan-94,Jan-94
1843,17-Jan-94,1994,1,January,Jan-94,Jan-94
1844,18-Jan-94,1994,1,January,Jan-94,Jan-94
1845,19-Jan-94,1994,1,January,Jan-94,Jan-94
1846,20-Jan-94,1994,1,January,Jan-94,Jan-94
1847,21-Jan-94,1994,1,January,Jan-94,Jan-94
1848,22-Jan-94,1994,1,January,Jan-94,Jan-94
1849,23-Jan-94,1994,1,January,Jan-94,Jan-94
1850,24-Jan-94,1994,1,January,Jan-94,Jan-94
1851,25-Jan-94,1994,1,January,Jan-94,Jan-94
1852,26-Jan-94,1994,1,January,Jan-94,Jan-94
1853,27-Jan-94,1994,1,January,Jan-94,Jan-94
1854,28-Jan-94,1994,1,January,Jan-94,Jan-94
1855,29-Jan-94,1994,1,January,Jan-94,Jan-94
1856,30-Jan-94,1994,1,January,Jan-94,Jan-94
1857,31-Jan-94,1994,1,January,Jan-94,Jan-94
1858,1-Feb-94,1994,2,February,Feb-94,Feb-94
1859,2-Feb-94,1994,2,February,Feb-94,Feb-94
1860,3-Feb-94,1994,2,February,Feb-94,Feb-94
1861,4-Feb-94,1994,2,February,Feb-94,Feb-94
1862,5-Feb-94,1994,2,February,Feb-94,Feb-94
1863,6-Feb-94,1994,2,February,Feb-94,Feb-94
1864,7-Feb-94,1994,2,February,Feb-94,Feb-94
1865,8-Feb-94,1994,2,February,Feb-94,Feb-94
1866,9-Feb-94,1994,2,February,Feb-94,Feb-94
1867,10-Feb-94,1994,2,February,Feb-94,Feb-94
1868,11-Feb-94,1994,2,February,Feb-94,Feb-94
1869,12-Feb-94,1994,2,February,Feb-94,Feb-94
1870,13-Feb-94,1994,2,February,Feb-94,Feb-94
1871,14-Feb-94,1994,2,February,Feb-94,Feb-94
1872,15-Feb-94,1994,2,February,Feb-94,Feb-94
1873,16-Feb-94,1994,2,February,Feb-94,Feb-94
1874,17-Feb-94,1994,2,February,Feb-94,Feb-94
1875,18-Feb-94,1994,2,February,Feb-94,Feb-94
1876,19-Feb-94,1994,2,February,Feb-94,Feb-94
1877,20-Feb-94,1994,2,February,Feb-94,Feb-94
1878,21-Feb-94,1994,2,February,Feb-94,Feb-94
1879,22-Feb-94,1994,2,February,Feb-94,Feb-94
1880,23-Feb-94,1994,2,February,Feb-94,Feb-94
1881,24-Feb-94,1994,2,February,Feb-94,Feb-94
1882,25-Feb-94,1994,2,February,Feb-94,Feb-94
1883,26-Feb-94,1994,2,February,Feb-94,Feb-94
1884,27-Feb-94,1994,2,February,Feb-94,Feb-94
1885,28-Feb-94,1994,2,February,Feb-94,Feb-94
1886,1-Mar-94,1994,3,March,Mar-94,Mar-94
1887,2-Mar-94,1994,3,March,Mar-94,Mar-94
1888,3-Mar-94,1994,3,March,Mar-94,Mar-94
1889,4-Mar-94,1994,3,March,Mar-94,Mar-94
1890,5-Mar-94,1994,3,March,Mar-94,Mar-94
1891,6-Mar-94,1994,3,March,Mar-94,Mar-94
1892,7-Mar-94,1994,3,March,Mar-94,Mar-94
1893,8-Mar-94,1994,3,March,Mar-94,Mar-94
1894,9-Mar-94,1994,3,March,Mar-94,Mar-94
1895,10-Mar-94,1994,3,March,Mar-94,Mar-94
1896,11-Mar-94,1994,3,March,Mar-94,Mar-94
1897,12-Mar-94,1994,3,March,Mar-94,Mar-94
1898,13-Mar-94,1994,3,March,Mar-94,Mar-94
1899,14-Mar-94,1994,3,March,Mar-94,Mar-94
1900,15-Mar-94,1994,3,March,Mar-94,Mar-94
1901,16-Mar-94,1994,3,March,Mar-94,Mar-94
1902,17-Mar-94,1994,3,March,Mar-94,Mar-94
1903,18-Mar-94,1994,3,March,Mar-94,Mar-94
1904,19-Mar-94,1994,3,March,Mar-94,Mar-94
1905,20-Mar-94,1994,3,March,Mar-94,Mar-94
1906,21-Mar-94,1994,3,March,Mar-94,Mar-94
1907,22-Mar-94,1994,3,March,Mar-94,Mar-94
1908,23-Mar-94,1994,3,March,Mar-94,Mar-94
1909,24-Mar-94,1994,3,March,Mar-94,Mar-94
1910,25-Mar-94,1994,3,March,Mar-94,Mar-94
1911,26-Mar-94,1994,3,March,Mar-94,Mar-94
1912,27-Mar-94,1994,3,March,Mar-94,Mar-94
1913,28-Mar-94,1994,3,March,Mar-94,Mar-94
1914,29-Mar-94,1994,3,March,Mar-94,Mar-94
1915,30-Mar-94,1994,3,March,Mar-94,Mar-94
1916,31-Mar-94,1994,3,March,Mar-94,Mar-94
1917,1-Apr-94,1994,4,April,Apr-94,Apr-94
1918,2-Apr-94,1994,4,April,Apr-94,Apr-94
1919,3-Apr-94,1994,4,April,Apr-94,Apr-94
1920,4-Apr-94,1994,4,April,Apr-94,Apr-94
1921,5-Apr-94,1994,4,April,Apr-94,Apr-94
1922,6-Apr-94,1994,4,April,Apr-94,Apr-94
1923,7-Apr-94,1994,4,April,Apr-94,Apr-94
1924,8-Apr-94,1994,4,April,Apr-94,Apr-94
1925,9-Apr-94,1994,4,April,Apr-94,Apr-94
1926,10-Apr-94,1994,4,April,Apr-94,Apr-94
1927,11-Apr-94,1994,4,April,Apr-94,Apr-94
1928,12-Apr-94,1994,4,April,Apr-94,Apr-94
1929,13-Apr-94,1994,4,April,Apr-94,Apr-94
1930,14-Apr-94,1994,4,April,Apr-94,Apr-94
1931,15-Apr-94,1994,4,April,Apr-94,Apr-94
1932,16-Apr-94,1994,4,April,Apr-94,Apr-94
1933,17-Apr-94,1994,4,April,Apr-94,Apr-94
1934,18-Apr-94,1994,4,April,Apr-94,Apr-94
1935,19-Apr-94,1994,4,April,Apr-94,Apr-94
1936,20-Apr-94,1994,4,April,Apr-94,Apr-94
1937,21-Apr-94,1994,4,April,Apr-94,Apr-94
1938,22-Apr-94,1994,4,April,Apr-94,Apr-94
1939,23-Apr-94,1994,4,April,Apr-94,Apr-94
1940,24-Apr-94,1994,4,April,Apr-94,Apr-94
1941,25-Apr-94,1994,4,April,Apr-94,Apr-94
1942,26-Apr-94,1994,4,April,Apr-94,Apr-94
1943,27-Apr-94,1994,4,April,Apr-94,Apr-94
1944,28-Apr-94,1994,4,April,Apr-94,Apr-94
1945,29-Apr-94,1994,4,April,Apr-94,Apr-94
1946,30-Apr-94,1994,4,April,Apr-94,Apr-94
1947,1-May-94,1994,5,May,May-94,May-94
1948,2-May-94,1994,5,May,May-94,May-94
1949,3-May-94,1994,5,May,May-94,May-94
1950,4-May-94,1994,5,May,May-94,May-94
1951,5-May-94,1994,5,May,May-94,May-94
1952,6-May-94,1994,5,May,May-94,May-94
1953,7-May-94,1994,5,May,May-94,May-94
1954,8-May-94,1994,5,May,May-94,May-94
1955,9-May-94,1994,5,May,May-94,May-94
1956,10-May-94,1994,5,May,May-94,May-94
1957,11-May-94,1994,5,May,May-94,May-94
1958,12-May-94,1994,5,May,May-94,May-94
1959,13-May-94,1994,5,May,May-94,May-94
1960,14-May-94,1994,5,May,May-94,May-94
1961,15-May-94,1994,5,May,May-94,May-94
1962,16-May-94,1994,5,May,May-94,May-94
1963,17-May-94,1994,5,May,May-94,May-94
1964,18-May-94,1994,5,May,May-94,May-94
1965,19-May-94,1994,5,May,May-94,May-94
1966,20-May-94,1994,5,May,May-94,May-94
1967,21-May-94,1994,5,May,May-94,May-94
1968,22-May-94,1994,5,May,May-94,May-94
1969,23-May-94,1994,5,May,May-94,May-94
1970,24-May-94,1994,5,May,May-94,May-94
1971,25-May-94,1994,5,May,May-94,May-94
1972,26-May-94,1994,5,May,May-94,May-94
1973,27-May-94,1994,5,May,May-94,May-94
1974,28-May-94,1994,5,May,May-94,May-94
1975,29-May-94,1994,5,May,May-94,May-94
1976,30-May-94,1994,5,May,May-94,May-94
1977,31-May-94,1994,5,May,May-94,May-94
1978,1-Jun-94,1994,6,June,Jun-94,Jun-94
1979,2-Jun-94,1994,6,June,Jun-94,Jun-94
1980,3-Jun-94,1994,6,June,Jun-94,Jun-94
1981,4-Jun-94,1994,6,June,Jun-94,Jun-94
1982,5-Jun-94,1994,6,June,Jun-94,Jun-94
1983,6-Jun-94,1994,6,June,Jun-94,Jun-94
1984,7-Jun-94,1994,6,June,Jun-94,Jun-94
1985,8-Jun-94,1994,6,June,Jun-94,Jun-94
1986,9-Jun-94,1994,6,June,Jun-94,Jun-94
1987,10-Jun-94,1994,6,June,Jun-94,Jun-94
1988,11-Jun-94,1994,6,June,Jun-94,Jun-94
1989,12-Jun-94,1994,6,June,Jun-94,Jun-94
1990,13-Jun-94,1994,6,June,Jun-94,Jun-94
1991,14-Jun-94,1994,6,June,Jun-94,Jun-94
1992,15-Jun-94,1994,6,June,Jun-94,Jun-94
1993,16-Jun-94,1994,6,June,Jun-94,Jun-94
1994,17-Jun-94,1994,6,June,Jun-94,Jun-94
1995,18-Jun-94,1994,6,June,Jun-94,Jun-94
1996,19-Jun-94,1994,6,June,Jun-94,Jun-94
1997,20-Jun-94,1994,6,June,Jun-94,Jun-94
1998,21-Jun-94,1994,6,June,Jun-94,Jun-94
1999,22-Jun-94,1994,6,June,Jun-94,Jun-94
2000,23-Jun-94,1994,6,June,Jun-94,Jun-94
2001,24-Jun-94,1994,6,June,Jun-94,Jun-94
2002,25-Jun-94,1994,6,June,Jun-94,Jun-94
2003,26-Jun-94,1994,6,June,Jun-94,Jun-94
2004,27-Jun-94,1994,6,June,Jun-94,Jun-94
2005,28-Jun-94,1994,6,June,Jun-94,Jun-94
2006,29-Jun-94,1994,6,June,Jun-94,Jun-94
2007,30-Jun-94,1994,6,June,Jun-94,Jun-94
2008,1-Jul-94,1994,7,July,Jul-94,Jul-94
2009,2-Jul-94,1994,7,July,Jul-94,Jul-94
2010,3-Jul-94,1994,7,July,Jul-94,Jul-94
2011,4-Jul-94,1994,7,July,Jul-94,Jul-94
2012,5-Jul-94,1994,7,July,Jul-94,Jul-94
2013,6-Jul-94,1994,7,July,Jul-94,Jul-94
2014,7-Jul-94,1994,7,July,Jul-94,Jul-94
2015,8-Jul-94,1994,7,July,Jul-94,Jul-94
2016,9-Jul-94,1994,7,July,Jul-94,Jul-94
2017,10-Jul-94,1994,7,July,Jul-94,Jul-94
